epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4964,1.25238,4.40879,1.39301,0,0,0,0,0,36.9126,0,0.00032963,0.00032963,0.00032963
2,166.09,1.41624,3.32839,1.51428,0,0,0,0,0,41.5932,0,0.000531696,0.000531696,0.000531696
